Address,Beds,Baths,Price,Square Foot
"5617 Casa Blanca Ln, Atlanta, GA 30331",5bd,4ba,529900,3170
"4015 Riverchess Dr   SW #125, Atlanta, GA 30331",3bd,3ba,404990,Undisclosed
"860 Peachtree St   NE #807, Atlanta, GA 30308",1bd,1ba,326000,792
"476 Village Creek Dr   #A, Atlanta, GA 30338",3bd,3ba,280000,1800
"4985 Butner Rd   S, Atlanta, GA 30349",Undisclosed,Undisclosed,90000,Undisclosed
"3209 Teton Dr   SE, Atlanta, GA 30339",5bd,6ba,2999900,Undisclosed
"176B Sampson St   NE, Atlanta, GA 30312",3bd,5ba,859000,1925
"790 Liberty Commons Dr   NW #601, Atlanta, GA 30314",3bd,4ba,390000,1895
"1566 Peachtree Battle Ave NW, Atlanta, GA 30327",4bd,3ba,1210000,2800
"519 James P Brawley Dr NW, Atlanta, GA 30318",Studio,Undisclosed,199900,Undisclosed
"549 Hopkins St SW, Atlanta, GA 30310",Studio,Undisclosed,125000,Undisclosed
"539 Hopkins St   SW, Atlanta, GA 30310",Studio,Undisclosed,225000,Undisclosed
"795 Hammond Dr #2307, Sandy Springs, GA 30328",1bd,1ba,262000,941
"505 Whitehall St SW #101, Atlanta, GA 30313",2bd,1ba,372555,1355
"4046 Braxton Pl SW, Atlanta, GA 30331",3bd,3ba,235000,1368
"2418 Charleston Pointe Ct, Atlanta, GA 30316",4bd,3ba,342000,1864
"3030 Lynhurst Cir SW, Atlanta, GA 30311",4bd,2ba,350000,2004
"75 Spruell Springs Rd, Atlanta, GA 30342",6bd,5ba,1650000,6700
"3266 Henderson Mill Rd   #B, Chamblee, GA 30341",2bd,2ba,259000,1201
"707 Banton Dr NW, Atlanta, GA 30318",3bd,4ba,625000,2095
"3320 Ridge Poin, Atlanta, GA 30339",4bd,4ba,875000,5013
"4132 Carmain Dr NE, Atlanta, GA 30342",5bd,5ba,2700000,5500
"4006 Riverchess Dr SW, Atlanta, GA 30331",3bd,3ba,384990,1814
"3998 Riverchess Dr SW, Atlanta, GA 30331",3bd,3ba,384990,1814
"1868 Bragg St, Atlanta, GA 30341",4bd,4ba,1120000,3932
"3040 Peachtree Rd NW #412, Atlanta, GA 30305",2bd,2ba,479999,1250
"648 Grady Pl SW, Atlanta, GA 30310",3bd,2ba,475000,Undisclosed
"1775 Brandon Hall Dr, Sandy Springs, GA 30350",4bd,5ba,840000,5395
"1385 Centra Villa Dr SW, Atlanta, GA 30311",4bd,2ba,399500,1860
"B-3 Plan in 788 West Midtown, Atlanta, GA 30318",2bd,3ba,652900,1472
"1075 Thomasville Estate Way, Atlanta, GA 30315",3bd,3ba,333990,Undisclosed
"856 Briarcliff Rd   NE #3, Atlanta, GA 30306",1bd,1ba,280000,764
"1849 E  Farris Ave, Atlanta, GA 30344",3bd,2ba,315000,Undisclosed
"1300 Kipling St SE, Atlanta, GA 30315",3bd,2ba,295000,1140
"2731 Arden Rd NW, Atlanta, GA 30327",6bd,7ba,3299000,7470
"870 Mayson Turner Rd   NW #1012, Atlanta, GA 30314",2bd,2ba,175000,1094
"943 Peachtree St   #1504, Atlanta, GA 30309",1bd,1ba,299000,768
"3150 Woodwalk Dr #2206, Atlanta, GA 30339",2bd,2ba,330000,1195
"921 Ponce De Leon Pl NE, Atlanta, GA 30306",5bd,6ba,1999000,5670
"1353 Sylvan Cir, Atlanta, GA 30319",5bd,6ba,1995000,5253
"589 Pelham Rd NE, Atlanta, GA 30324",5bd,4ba,1400000,5127
"2442 Connally Dr, East Pt, GA 30344",4bd,2ba,80000,1670
"3727 Tuxedo Rd NW, Atlanta, GA 30305",Studio,Undisclosed,5999000,Undisclosed
"2408 Lakeshore Dr   #28, Atlanta, GA 30307",3bd,3ba,407900,1415
"272 Estoria St   SE #25, Atlanta, GA 30316",3bd,4ba,730000,2130
"238 Ismal Dr   SW, Atlanta, GA 30331",3bd,4ba,373000,1832
"1965 Hidden Hts  NW, Atlanta, GA 30318",3bd,3ba,424999,1444
"6201 Old Kingston Dr, Atlanta, GA 30331",5bd,3ba,533200,3672
"955 Juniper St NE #1118, Atlanta, GA 30309",1bd,1ba,305000,789
"3717 Allegretto Cir, Atlanta, GA 30339",3bd,4ba,565000,1828
"601 Oakside Dr SW, Atlanta, GA 30331",3bd,2ba,259800,1564
"3271 Stillwood Dr, Atlanta, GA 30354",4bd,4ba,637375,Undisclosed
"1238 Ladd St SW, Atlanta, GA 30310",4bd,3ba,469000,1958
"58 Mount Vernon Cir, Atlanta, GA 30338",3bd,3ba,424000,1750
"716 Church St NW, Atlanta, GA 30318",3bd,2ba,355000,1276
"979 Sims Ave NW, Atlanta, GA 30318",Studio,Undisclosed,525000,Undisclosed
"222 12th St NE #905, Atlanta, GA 30309",2bd,2ba,600000,1329
"1342 Elizabeth Ave SW, Atlanta, GA 30310",Studio,Undisclosed,120000,Undisclosed
"394 Sawtell Ave SE, Atlanta, GA 30315",3bd,2ba,334900,1363
"3070 Meadow Mere W, Chamblee, GA 30341",3bd,3ba,290000,1803
"246 Kirkwood Rd, Atlanta, GA 30317",3bd,2ba,508000,Undisclosed
"3319 Harrison Rd, East Pt, GA 30344",5bd,4ba,749900,Undisclosed
"853 Gaston St SW, Atlanta, GA 30310",4bd,4ba,435000,2300
"126 Chappell Rd NW, Atlanta, GA 30314",2bd,1ba,155000,977
"1932 Phillips Ave, East Pt, GA 30344",Undisclosed,Undisclosed,149900,Undisclosed
"781 Ayrshire Cir NW, Atlanta, GA 30318",3bd,1ba,100000,866
"395 Spindle Ct, Sandy Springs, GA 30350",5bd,5ba,829000,4192
"856 Briarcliff Rd #3, Atlanta, GA 30306",1bd,1ba,280000,764
"77 Peachtree Pl NE #417, Atlanta, GA 30309",1bd,1ba,425000,911
"390 17th St NW #3036, Atlanta, GA 30363",2bd,2ba,315990,1166
"1080 Peachtree St NE #702, Atlanta, GA 30309",2bd,2ba,825000,1386
"272 Estoria St SE, Atlanta, GA 30316",3bd,4ba,750000,2130
"1081 Thomasville Estate Way  #20, Atlanta, GA 30315",3bd,3ba,333990,1800
"238 Ismal Dr   S, Atlanta, GA 30331",2bd,4ba,373000,Undisclosed
"1075 Thomasville Estate Way  #19, Atlanta, GA 30315",3bd,3ba,333990,1800
"1027 Thomasville Estate Way  #11, Atlanta, GA 30315",3bd,3ba,329990,1800
"1051 Thomasville Estate Way  #15, Atlanta, GA 30315",3bd,3ba,329990,1800
"3998 Riverchess Dr   SW #108, Atlanta, GA 30331",3bd,3ba,384990,1814
"42 Arpege Way  NW #42, Atlanta, GA 30327",2bd,2ba,244900,1273
"4006 Riverchess Dr   SW #110, Atlanta, GA 30331",3bd,3ba,384990,1814
"1517 Cobalt Dr, Atlanta, GA 30318",3bd,4ba,698715,Undisclosed
"2100 Garden Pl   SE #13, Atlanta, GA 30316",4bd,5ba,529900,2350
"Browns Mill Rd   SE, Atlanta, GA 30354",Undisclosed,Undisclosed,70000,Undisclosed
"50 Old Powers Pl NW, Sandy Springs, GA 30327",4bd,5ba,1195000,4879
"Adeline Plan in The Parc, Atlanta, GA 30316",3bd,4ba,400000,1984
