Address,Beds,Baths,Price,Square Foot
"2825 Gresham Rd, Atlanta, GA 30316",3bd,1ba,250000,984
"149 Walnut St SW, Atlanta, GA 30314",6bd,2ba,400000,2244
"795 Hammond Dr #1701, Sandy Springs, GA 30328",2bd,1ba,245000,975
"3994 Wolcott Cir, Doraville, GA 30340",2bd,3ba,257500,1160
"2255 Peachtree Rd NE #420, Atlanta, GA 30309",2bd,2ba,350000,1030
"3777 Peachtree Rd   NE #1128, Atlanta, GA 30319",1bd,1ba,250000,919
"1851 Dunlap Ave, East Pt, GA 30344",3bd,2ba,349000,1482
"2998 Memorial Dr, Atlanta, GA 30317",2bd,1ba,319000,977
"3300 Dogwood Dr   #312, Hapeville, GA 30354",2bd,2ba,225000,1295
"374 Oak Dr SE, Atlanta, GA 30354",3bd,2ba,304900,1014
"1461 Hawthorne Way, East Pt, GA 30344",3bd,1ba,80000,1254
"854 Bonneville Ter NW, Atlanta, GA 30331",3bd,3ba,245000,1150
"300 W  Peachtree St   NW #22L, Atlanta, GA 30308",1bd,1ba,255000,609
"870 Mayson Turner Rd   NW #1239, Atlanta, GA 30314",1bd,1ba,140000,768
"2921 Lenox Rd   NE #402, Atlanta, GA 30324",2bd,2ba,354000,1270
"976 Silverwood Dr, Atlanta, GA 30349",3bd,2ba,269900,2176
"170 Boulevard SE #E209, Atlanta, GA 30312",2bd,2ba,575000,1858
"1372 McClelland Ave, Atlanta, GA 30344",3bd,2ba,219999,1180
"1689 Derry Ave SW, Atlanta, GA 30310",4bd,4ba,535888,2425
"4030 Stonewall Tell Rd, Atlanta, GA 30349",4bd,2ba,295000,1404
"4834 Neal Rdg, Atlanta, GA 30349",5bd,4ba,825000,5189
"798 Saint Charles Ave  NE #4, Atlanta, GA 30306",1bd,1ba,245000,635
"2324 Parkview Cir, College Park, GA 30337",3bd,2ba,325000,1520
"237 Fairburn Rd, Atlanta, GA 30331",4bd,2ba,60000,Undisclosed
"405 Fairburn Rd   SW #80, Atlanta, GA 30331",2bd,1ba,40000,Undisclosed
"405 Fairburn Rd   SW #222, Atlanta, GA 30331",2bd,1ba,50000,Undisclosed
"3869 Longview Dr, Atlanta, GA 30341",3bd,2ba,450000,1241
"1412 Beatie Ave SW, Atlanta, GA 30310",3bd,2ba,449999,1459
"2587 Hightower Ct NW, Atlanta, GA 30318",4bd,3ba,247500,988
"1194 Mansfield Ave, Atlanta, GA 30307",4bd,3ba,899000,2472
"3091 Colonial Way  #A3, Atlanta, GA 30341",2bd,2ba,264900,1032
"Corban Plan in The Collection at East Lake, Atlanta, GA 30316",3bd,3ba,475200,1978
"HAYDEN Plan in Glen at Cascading Palms, Atlanta, GA 30331",5bd,3ba,403990,2511
"2210 Pansy St NW, Atlanta, GA 30314",3bd,3ba,279000,1288
"4110 Robin Cir, Atlanta, GA 30349",3bd,3ba,265000,2264
"3303 Woodwalk Dr   SE #17, Atlanta, GA 30339",3bd,4ba,599900,3710
"2226 Bigwood Trl  S, Atlanta, GA 30349",2bd,3ba,215000,1544
"400 W  Peachtree St   NW #705, Atlanta, GA 30308",1bd,1ba,279000,743
"986 Linam St SE, Atlanta, GA 30315",4bd,4ba,779900,2228
"800 Peachtree St   NE #102, Atlanta, GA 30308",1bd,1ba,289000,832
"Bellamy Plan in Reverie on Cumberland, Atlanta, GA 30339",2bd,3ba,464900,1590
"411 9th St NE, Atlanta, GA 30309",5bd,5ba,2395000,4000
"1097 Robert Smalls Way, Atlanta, GA 30318",3bd,4ba,662900,2294
"783 Charles Allen Dr NE, Atlanta, GA 30308",5bd,4ba,925000,2462
"3633 Tuxedo Rd NW, Atlanta, GA 30305",5bd,9ba,4500000,9993
"499 Johnson Ferry Rd NW, Sandy Springs, GA 30328",5bd,6ba,2200000,4939
"2733 Caldwell Rd, Atlanta, GA 30319",6bd,6ba,1399900,5812
"Riverview Plan in Riverline, Atlanta, GA 30318",3bd,4ba,500000,2175
"1722 Faulkland Ave, Atlanta, GA 30329",3bd,4ba,580000,2200
"6177 Stonelake Dr SW, Atlanta, GA 30331",5bd,4ba,465000,3451
"2884 Cravey Dr   NE, Atlanta, GA 30345",6bd,5ba,925000,4200
"1831 Dunlap Ave, East Pt, GA 30344",3bd,2ba,349900,Undisclosed
"1118 Hawthorne St NE, Atlanta, GA 30307",5bd,3ba,699000,2432
