,Address,Beds,Baths,Price,Square Foot
101,"870 Mayson Turner Rd   NW #1239, Atlanta, GA 30314",1bd,1ba,"$140,000",768 sqft
102,"1412 Foxhall Ln   SE #11, Atlanta, GA 30316",1bd,1ba,"$128,000",627 sqft
103,"2921 Lenox Rd   NE #402, Atlanta, GA 30324",2bd,2ba,"$354,000","1,270 sqft"
104,"976 Silverwood Dr, Atlanta, GA 30349",3bd,2ba,"$269,900","2,176 sqft"
105,"170 Boulevard SE #E209, Atlanta, GA 30312",2bd,2ba,"$575,000","1,858 sqft"
106,"1372 McClelland Ave, Atlanta, GA 30344",3bd,2ba,"$219,999","1,180 sqft"
107,"1689 Derry Ave SW, Atlanta, GA 30310",4bd,4ba,"$535,888","2,425 sqft"
108,"260 18th St   NW #10315, Atlanta, GA 30363",2bd,2ba,"$434,900","1,372 sqft"
109,"2249 Leicester Way SE, Atlanta, GA 30316",3bd,3ba,"$325,000","1,548 sqft"
110,"4030 Stonewall Tell Rd, Atlanta, GA 30349",4bd,2ba,"$295,000","1,404 sqft (on 1.48 acres)"
111,"2951 W  Roxboro Rd NE, Atlanta, GA 30324",6bd,7ba,"$2,225,000","6,494 sqft (on 0.48 acres)"
112,"4834 Neal Rdg, Atlanta, GA 30349",5bd,4ba,"$825,000","5,189 sqft (on 0.44 acres)"
113,"3869 Longview Dr, Atlanta, GA 30341",3bd,2ba,"$450,000","1,241 sqft (on 0.30 acres)"
114,"70 Sheridan Dr   NE #7, Atlanta, GA 30305",1bd,1ba,"$229,900",485 sqft
115,"1412 Beatie Ave SW, Atlanta, GA 30310",3bd,2ba,"$449,999","1,459 sqft"
116,"2587 Hightower Ct NW, Atlanta, GA 30318",4bd,3ba,"$247,500",988 sqft
117,"Welkin 2B Plan in Stein Steel, Atlanta, GA 30316",2bd,3ba,"$616,000+","1,343 sqft"
118,"1403 Vesta Ter, Atlanta, GA 30344",Studio,Undisclosed,"$450,000",Undisclosed
119,"3177 Clairwood Ter, Atlanta, GA 30341",2bd,1ba,"$449,900","1,068 sqft (on 0.30 acres)"
120,"1194 Mansfield Ave, Atlanta, GA 30307",4bd,3ba,"$899,000","2,472 sqft"
121,"1442 Hosea L Williams Dr NE, Atlanta, GA 30317",3bd,2ba,"$495,000","1,394 sqft"
122,"6961 Brandon Mill Rd, Sandy Springs, GA 30328",4bd,4ba,"$750,000","2,728 sqft (on 0.52 acres)"
123,"3091 Colonial Way  #A3, Atlanta, GA 30341",2bd,2ba,"$264,900","1,032 sqft"
124,"795 Hammond Dr #1808, Sandy Springs, GA 30328",1bd,1ba,"$218,000",769 sqft
125,"Townhouse 2 Plan in Downing Park, Atlanta, GA 30307",4bd,5ba,"$1,700,000+","3,535 sqft"
126,"2615 Jefferson Ter, Atlanta, GA 30344",2bd,2ba,"$349,500","1,777 sqft (on 0.28 acres)"
127,"2210 Pansy St NW, Atlanta, GA 30314",3bd,3ba,"$279,000","1,288 sqft"
128,"554 Oak Dr, Hapeville, GA 30354",3bd,2ba,"$300,000","1,200 sqft"
129,"5925 Mallory Rd, Atlanta, GA 30349",2bd,2ba,"$169,900",960 sqft (on 1.92 acres)
130,"4110 Robin Cir, Atlanta, GA 30349",3bd,3ba,"$265,000","2,264 sqft"
131,"3303 Woodwalk Dr   SE #17, Atlanta, GA 30339",3bd,4ba,"$599,900","3,710 sqft"
132,"2226 Bigwood Trl  S, Atlanta, GA 30349",2bd,3ba,"$215,000","1,544 sqft"
133,"400 W  Peachtree St   NW #705, Atlanta, GA 30308",1bd,1ba,"$279,000",743 sqft
134,"798 Saint Charles Ave  NE #4, Atlanta, GA 30306",1bd,1ba,"$245,000",635 sqft
135,"Maxwell Plan in Zephyr, Atlanta, GA 30315",2bd,2ba,"$410,000+","1,171 sqft"
136,"6314 Rockaway Rd   #29, Atlanta, GA 30349",3bd,3ba,"$265,100","1,488 sqft"
137,"560 Wembley Cir, Sandy Springs, GA 30328",4bd,4ba,"$719,000","3,115 sqft"
138,"1161 Bordeau Ct, Atlanta, GA 30338",4bd,3ba,"$550,000","2,365 sqft (on 0.40 acres)"
139,"1097 Robert Smalls Way, Atlanta, GA 30318",3bd,4ba,"$662,900","2,294 sqft"
140,"783 Charles Allen Dr NE, Atlanta, GA 30308",5bd,4ba,"$925,000","2,462 sqft"
141,"986 Linam St SE, Atlanta, GA 30315",4bd,4ba,"$799,900","2,228 sqft"
142,"3633 Tuxedo Rd NW, Atlanta, GA 30305",5bd,9ba,"$4,500,000","9,993 sqft (on 1.32 acres)"
143,"499 Johnson Ferry Rd NW, Sandy Springs, GA 30328",5bd,6ba,"$2,200,000","4,939 sqft (on 7.17 acres)"
144,"2733 Caldwell Rd, Atlanta, GA 30319",6bd,6ba,"$1,399,900","5,812 sqft (on 0.30 acres)"
145,"Braden Plan in Anatole, Atlanta, GA 30331",3bd,3ba,"$296,000+","1,463 sqft"
146,"1033 Lenox Crst, Atlanta, GA 30324",3bd,3ba,"$724,500","3,686 sqft"
147,"1300 Memorial Dr   SE #14, Atlanta, GA 30317",3bd,4ba,"$640,000","2,382 sqft"
148,"6177 Stonelake Dr SW, Atlanta, GA 30331",5bd,4ba,"$465,000","3,451 sqft"
149,"737 Bismark Rd NE, Atlanta, GA 30324",3bd,4ba,"$550,000","1,881 sqft"
150,"1831 Dunlap Ave, East Pt, GA 30344",3bd,2ba,"$349,900",Undisclosed
151,"2884 Cravey Dr   NE, Atlanta, GA 30345",6bd,5ba,"$925,000","3,078 sqft (on 0.50 acres)"
152,"1092 Oak St SW, Atlanta, GA 30310",3bd,2ba,"$394,000","2,052 sqft"
153,"1069 Bluffhaven Way, Atlanta, GA 30319",4bd,4ba,"$1,059,000","3,918 sqft"
154,"3538 Kim Ct, Atlanta, GA 30340",4bd,2ba,"$699,000","2,750 sqft (on 0.70 acres)"
155,"2276 Sargent Pl   SE, Atlanta, GA 30315",Studio,Undisclosed,"$75,000",Undisclosed
156,"496 Park Valley Dr NW, Atlanta, GA 30318",3bd,1ba,"$174,900",828 sqft (on 0.25 acres)
157,"507 Carter Ave SE, Atlanta, GA 30317",4bd,3ba,"$675,000","2,384 sqft"
158,"958 Wylie St SE, Atlanta, GA 30316",4bd,3ba,"$949,900","2,304 sqft"
159,"353 Collier Ridge Dr NW, Atlanta, GA 30318",3bd,2ba,"$359,900","1,450 sqft (on 0.31 acres)"
160,"2880 Dawes Ave, Atlanta, GA 30317",4bd,2ba,"$430,000","1,440 sqft"
161,"779 N  Elizabeth Pl NW, Atlanta, GA 30318",3bd,2ba,"$345,900","1,600 sqft"
162,"2803 Fleur De Lis Way, Dunwoody, GA 30360",3bd,2ba,"$475,000","1,662 sqft (on 0.40 acres)"
163,"411 9th St NE, Atlanta, GA 30309",5bd,5ba,"$2,395,000","4,000 sqft"
164,"1057 Shepherds Ln, Atlanta, GA 30324",5bd,4ba,"$935,000","3,600 sqft (on 0.30 acres)"
165,"1063 Smith St SW, Atlanta, GA 30310",3bd,2ba,"$400,000","1,509 sqft"
166,"2554 Boulder Hill Ct, Atlanta, GA 30316",4bd,3ba,"$439,000","1,544 sqft (on 0.40 acres)"
167,"632 Home Ave SE, Atlanta, GA 30312",3bd,2ba,"$525,000","1,117 sqft"
168,"650 Glen Iris Dr NE #24, Atlanta, GA 30308",2bd,2ba,"$465,000","1,075 sqft"
169,"510 Pine Tree Dr NE, Atlanta, GA 30305",3bd,2ba,"$1,185,000","1,789 sqft"
170,"626 Elmwood Dr NE, Atlanta, GA 30306",3bd,2ba,"$1,095,000","1,914 sqft"
171,"3586 Adelaide Xing, Atlanta, GA 30319",4bd,4ba,"$650,000","2,510 sqft"
172,"675 Greenwood Ave NE #108, Atlanta, GA 30306",2bd,3ba,"$675,000","1,686 sqft"
173,"2824 Tupelo St, Atlanta, GA 30317",4bd,3ba,"$849,900","2,327 sqft (on 0.30 acres)"
174,"900 Coleman St   SW, Atlanta, GA 30310",4bd,3ba,"$550,000","1,900 sqft"
175,"Brycen Plan in Park Vue, Atlanta, GA 30318",2bd,3ba,"$453,955+","1,569 sqft"
176,"1111 Clifton Rd   NE, Atlanta, GA 30307",6bd,4ba,"$1,375,000","4,057 sqft (on 0.50 acres)"
177,"1722 Faulkland Ave, Atlanta, GA 30329",3bd,4ba,"$580,000","2,200 sqft"
178,"1619 Sylvan Rd SW, Atlanta, GA 30310",4bd,2ba,"$490,000","1,821 sqft"
179,"1103 Leah Ln, Atlanta, GA 30316",3bd,3ba,"$550,000","2,040 sqft"
180,"3623 Princeton Ave, College Park, GA 30337",3bd,4ba,"$410,000","1,520 sqft"
181,"3982 Lake Manor Way, Atlanta, GA 30349",3bd,3ba,"$400,000","2,243 sqft"
182,"1059 Claudette Colvin Ct, Atlanta, GA 30318",3bd,4ba,"$672,900","2,294 sqft"
183,"1095 Robert Smalls Way, Atlanta, GA 30318",3bd,4ba,"$662,900","2,294 sqft"
184,"1055 Claudette Colvin Ct, Atlanta, GA 30318",3bd,4ba,"$672,900","2,294 sqft"
185,"1057 Claudette Colvin Ct, Atlanta, GA 30318",3bd,4ba,"$652,900","2,294 sqft"
186,"735 Elkmont Dr NE, Atlanta, GA 30306",4bd,4ba,"$1,499,900","3,106 sqft (on 0.27 acres)"
187,"855 Peachtree St   NE #2807, Atlanta, GA 30308",2bd,3ba,"$529,000","1,184 sqft"
188,"1977 Clairmont Ter, Atlanta, GA 30345",3bd,4ba,"$825,000","3,598 sqft (on 1.10 acres)"
189,"390 17th St NW #2001, Atlanta, GA 30363",2bd,2ba,"$299,900","1,166 sqft"
190,"4094 N  Shallowford Rd, Atlanta, GA 30341",4bd,3ba,"$499,900","2,288 sqft (on 0.30 acres)"
191,"3004 Vinings Ferry Dr SE, Atlanta, GA 30339",3bd,3ba,"$450,000","2,400 sqft"
