Address,Beds,Baths,Price,Square Foot,Suggested Price
"3538 Kim Ct, Atlanta, GA 30340",4bd,2ba,699000,2750,899524.31
"496 Park Valley Dr NW, Atlanta, GA 30318",3bd,1ba,174900,828,270838.59
"507 Carter Ave SE, Atlanta, GA 30317",4bd,3ba,675000,2384,779805.8
"353 Collier Ridge Dr NW, Atlanta, GA 30318",3bd,2ba,359900,1450,474294.64
"2880 Dawes Ave, Atlanta, GA 30317",4bd,2ba,430000,1440,471023.64
"779 N  Elizabeth Pl NW, Atlanta, GA 30318",3bd,2ba,345900,1600,523359.6
"2803 Fleur De Lis Way, Dunwoody, GA 30360",3bd,2ba,475000,1662,543639.78
"1057 Shepherds Ln, Atlanta, GA 30324",5bd,4ba,935000,3600,1177559.1
"1063 Smith St SW, Atlanta, GA 30310",3bd,2ba,400000,1509,493593.52
"3586 Adelaide Xing, Atlanta, GA 30319",4bd,4ba,650000,2510,821020.37
"900 Coleman St   SW, Atlanta, GA 30310",4bd,3ba,550000,1900,621489.52
"Brycen Plan in Park Vue, Atlanta, GA 30318",2bd,3ba,453955,1569,513219.51
"1722 Faulkland Ave, Atlanta, GA 30329",3bd,4ba,580000,2200,719619.45
"1619 Sylvan Rd SW, Atlanta, GA 30310",4bd,2ba,490000,1821,595648.64
"1103 Leah Ln, Atlanta, GA 30316",3bd,3ba,550000,2040,667283.49
"3623 Princeton Ave, College Park, GA 30337",3bd,4ba,410000,1520,497191.62
"3982 Lake Manor Way, Atlanta, GA 30349",3bd,3ba,400000,2243,733684.74
"1059 Claudette Colvin Ct, Atlanta, GA 30318",3bd,4ba,672900,2294,750366.83
"1095 Robert Smalls Way, Atlanta, GA 30318",3bd,4ba,662900,2294,750366.83
"1055 Claudette Colvin Ct, Atlanta, GA 30318",3bd,4ba,672900,2294,750366.83
"1057 Claudette Colvin Ct, Atlanta, GA 30318",3bd,4ba,652900,2294,750366.83
"1977 Clairmont Ter, Atlanta, GA 30345",3bd,4ba,825000,3598,1176904.9
"390 17th St NW #2001, Atlanta, GA 30363",2bd,2ba,299900,1166,381398.31
"4094 N  Shallowford Rd, Atlanta, GA 30341",4bd,3ba,499900,2288,748404.23
"3004 Vinings Ferry Dr SE, Atlanta, GA 30339",3bd,3ba,450000,2400,785039.4
"1118 Hawthorne St NE, Atlanta, GA 30307",5bd,3ba,699000,2432,795506.59
"6580 Bellburn Rd, Atlanta, GA 30349",5bd,3ba,360000,2045,668918.99
"1106 Briar Cove Cir, Atlanta, GA 30329",5bd,4ba,875000,2870,938776.28
"Belhaven Plan in The Villages at Oakshire, Atlanta, GA 30354",4bd,3ba,335430,1991,651255.6
"375 Highland Ave  NE #303, Atlanta, GA 30312",3bd,3ba,435000,1478,483453.43
"3079 Revere Ct, Atlanta, GA 30340",2bd,3ba,200000,1160,379435.71
"1549 Brooksbank Dr, Atlanta, GA 30319",4bd,4ba,675000,2602,851113.55
"641 Hamilton E Holmes Dr NW, Atlanta, GA 30318",3bd,2ba,170000,1155,377800.21
"5522 Denny Dr, Atlanta, GA 30349",5bd,2ba,349900,1320,431771.67
"2923 Two Lake Cir, College Park, GA 30349",3bd,3ba,240000,1225,400697.19
